Numerical Feature name,min,max,average,std,variance,median,# missing values,# total number of values,Instrument,Description,Type,Values,Values label
Basic_Demos-Age,5.0,22.0,10.226484691995573,3.4120979900056017,11.642412693400265,10.0,0,2711,Demographics,Age of participant,float,,
CGAS-CGAS_Score,25.0,95.0,65.16075245831551,11.810695973660417,139.4925393822384,65.0,372,2711,Children's Global Assessment Scale,Children's Global Assessment Scale Score,int,,
Physical-BMI,0.0,46.10291358,19.12566742216383,4.909304545400917,24.101271119494104,17.81901032,184,2711,Physical Measures,Body Mass Index (kg/m^2),float,,
Physical-Height,36.0,78.5,55.897051383399216,7.3949383585489,54.6851133267379,55.0,181,2711,Physical Measures,Height (in),float,,
Physical-Weight,0.0,315.0,87.83959175738724,43.35307948782791,1879.4895010779253,75.8,139,2711,Physical Measures,Weight (lbs),float,,
Physical-Waist_Circumference,19.0,50.0,26.625258799171842,5.230213026660896,27.355128304253327,26.0,2228,2711,Physical Measures,Waist circumference (in),int,,
Physical-Diastolic_BP,11.0,179.0,69.75504439063761,13.790202532530783,190.16968588821842,68.0,233,2711,Physical Measures,Diastolic BP (mmHg),int,,
Physical-HeartRate,27.0,138.0,81.82341110217216,13.76981619404004,189.6078380176473,81.0,225,2711,Physical Measures,Heart rate (beats/min),int,,
Physical-Systolic_BP,49.0,203.0,117.12792574656982,17.22170668317408,296.5871810812828,114.0,233,2711,Physical Measures,Systolic BP (mmHg),int,,
Fitness_Endurance-Max_Stage,0.0,28.0,5.001367989056088,2.0167105428676724,4.067121413713622,5.0,1980,2711,FitnessGram Vitals and Treadmill,Maximum stage reached,int,,
Fitness_Endurance-Time_Mins,0.0,20.0,7.394230769230769,3.1804630067088815,10.115344937043698,7.0,1983,2711,FitnessGram Vitals and Treadmill,Exact time completed: Minutes,int,,
Fitness_Endurance-Time_Sec,0.0,59.0,27.656593406593405,17.756419624961786,315.2904378977281,28.0,1983,2711,FitnessGram Vitals and Treadmill,Exact time completed: Seconds,int,,
FGC-FGC_CU,0.0,115.0,11.912975508077123,11.979876829838728,143.5174488581068,10.0,792,2711,FitnessGram Child,Curl up total,int,,
FGC-FGC_GSND,0.0,124.0,22.077970183486237,10.484763474007593,109.93026510588378,19.4,1839,2711,FitnessGram Child,Grip Strength total (non-dominant),float,,
FGC-FGC_GSD,0.0,123.8,23.083639494833523,10.517376020093964,110.61519834804757,20.8,1840,2711,FitnessGram Child,Grip Strength total (dominant),float,,
FGC-FGC_PU,0.0,51.0,5.782608695652174,7.441060604416792,55.3693829186036,3.0,802,2711,FitnessGram Child,Push-up total,int,,
FGC-FGC_SRL,0.0,21.7,8.767974882260596,3.289944227060668,10.823733017169815,9.0,800,2711,FitnessGram Child,Sit & Reach total (left side),float,,
FGC-FGC_SRR,0.0,21.0,8.877888133821225,3.3202150951819966,11.023828278274394,9.0,798,2711,FitnessGram Child,Sit & Reach total (right side),float,,
FGC-FGC_TL,0.0,21.0,9.119567483064097,2.954478470887532,8.72894303493793,9.0,792,2711,FitnessGram Child,Trunk lift total,int,,
BIA-BIA_BMC,-7.78961,4115.36,6.954483988174297,97.02208686903555,9413.28534042268,3.93749,898,2711,Bio-electric Impedance Analysis,Bone Mineral Content,float,,
BIA-BIA_BMI,0.0482667,48.3754,19.232346534307776,4.921899809169868,24.225097731506377,17.8506,898,2711,Bio-electric Impedance Analysis,Body Mass Index,float,,
BIA-BIA_BMR,813.397,83152.2,1236.6042255929399,1960.1479334075211,3842179.9208417763,1113.04,898,2711,Bio-electric Impedance Analysis,Basal Metabolic Rate,float,,
BIA-BIA_DEE,1073.45,124728.0,2069.411478212907,2966.4538000171187,8799848.147636004,1862.15,898,2711,Bio-electric Impedance Analysis,Daily Energy Expenditure,float,,
BIA-BIA_ECW,1.78945,3233.0,20.781963237727524,76.69750493881439,5882.507263839457,15.7303,898,2711,Bio-electric Impedance Analysis,Extracellular Water,float,,
BIA-BIA_FFM,28.9004,8799.08,73.97761345835632,208.7818621129657,43589.86594735743,60.8162,898,2711,Bio-electric Impedance Analysis,Fat Free Mass,float,,
BIA-BIA_FFMI,7.86485,217.771,14.992020656370658,6.012465152871756,36.149737214497186,14.0629,898,2711,Bio-electric Impedance Analysis,Fat Free Mass Index,float,,
BIA-BIA_FMI,-194.163,28.2515,4.240326855984556,6.538342161571552,42.74991822178415,3.63948,898,2711,Bio-electric Impedance Analysis,Fat Mass Index,float,,
BIA-BIA_Fat,-8745.08,129.226,15.827993544677332,208.7714192762493,43585.50550661948,15.7727,898,2711,Bio-electric Impedance Analysis,Body Fat Percentage,float,,
BIA-BIA_ICW,17.845,2457.91,33.134536624379486,58.85269664956474,3463.6399029256886,28.7659,898,2711,Bio-electric Impedance Analysis,Intracellular Water,float,,
BIA-BIA_LDM,4.63581,3108.17,20.061120888030885,73.53839055407178,5407.894885283194,16.2828,898,2711,Bio-electric Impedance Analysis,Lean Dry Mass,float,,
BIA-BIA_LST,23.6201,4683.71,67.02312995035852,113.55491605623656,12894.718960538932,56.4291,898,2711,Bio-electric Impedance Analysis,Lean Soft Tissue,float,,
BIA-BIA_SMM,11.3825,3607.69,34.372294153337016,87.91700568794089,7729.399889133431,27.1935,898,2711,Bio-electric Impedance Analysis,Skeletal Muscle Mass,float,,
BIA-BIA_TBW,20.5892,5690.91,53.9164998345284,135.3772933063531,18327.01154295435,44.7213,898,2711,Bio-electric Impedance Analysis,Total Body Water,float,,
PAQ_A-PAQ_A_Total,0.66,4.54,2.1887016574585636,0.8144569622958282,0.6633401434321482,2.08,2349,2711,Physical Activity Questionnaire (Adolescents),Activity Summary Score (Adolescents),float,,
PAQ_C-PAQ_C_Total,0.58,4.79,2.590608333333333,0.7866101067944578,0.6187554601111883,2.55,1271,2711,Physical Activity Questionnaire (Children),Activity Summary Score (Children),float,,
SDS-SDS_Total_Raw,17.0,96.0,41.00039888312725,10.245646100018796,104.97326400683038,39.0,204,2711,Sleep Disturbance Scale,Total Raw Score,int,,
SDS-SDS_Total_T,38.0,100.0,57.67664670658683,13.05900353838184,170.53757341546938,55.0,206,2711,Sleep Disturbance Scale,Total T-Score,int,,
